Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SAIL @ MARINA BAY,"2,260,000",936.47,"2,413",25-Aug,MARINA BOULEVARD,Resale,Strata,87,"25,977",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,36 to 40
V ON SHENTON,"1,065,000",484.38,"2,199",25-Aug,SHENTON WAY,Resale,Strata,45,"23,667",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,21 to 25
ONE MARINA GARDENS,"2,635,221",904.18,"2,915",25-Aug,MARINA GARDENS LANE,New Sale,Strata,84,"31,372",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"5,144,355","1,646.89","3,124",25-Aug,MARINA GARDENS LANE,New Sale,Strata,153,"33,623",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"2,137,854",721.19,"2,964",25-Aug,MARINA GARDENS LANE,New Sale,Strata,67,"31,908",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
MARINA BAY RESIDENCES,"5,100,000","2,378.84","2,144",25-Aug,MARINA BOULEVARD,Resale,Strata,221,"23,077",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,16 to 20
ONE MARINA GARDENS,"1,864,422",656.6,"2,839",25-Aug,MARINA GARDENS LANE,New Sale,Strata,61,"30,564",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
MARINA ONE RESIDENCES,"1,300,000",688.9,"1,887",25-Aug,MARINA WAY,Resale,Strata,64,"20,313",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,01 to 05
ONE MARINA GARDENS,"3,036,959","1,011.82","3,001",25-Aug,MARINA GARDENS LANE,New Sale,Strata,94,"32,308",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,36 to 40
ONE MARINA GARDENS,"1,257,768",430.56,"2,921",25-Aug,MARINA GARDENS LANE,New Sale,Strata,40,"31,444",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,01 to 05
ONE SHENTON,,570.49,"2,044",25-Aug,SHENTON WAY,Resale,Strata,53,"21,998",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,16 to 20
MARINA BAY RESIDENCES,"1,625,000",731.95,"2,220",25-Aug,MARINA BOULEVARD,Resale,Strata,68,"23,897",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,21 to 25
UNION SQUARE RESIDENCES,"3,303,000","1,065.64","3,100",25-Aug,HAVELOCK ROAD,New Sale,Strata,99,"33,364",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,909,931",656.6,"2,909",25-Aug,MARINA GARDENS LANE,New Sale,Strata,61,"31,310",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
UNION SQUARE RESIDENCES,"3,279,000","1,065.64","3,077",,HAVELOCK ROAD,New Sale,Strata,99,"33,121",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
UNION SQUARE RESIDENCES,"2,323,000",721.19,"3,221",25-Aug,HAVELOCK ROAD,New Sale,Strata,67,"34,672",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"2,097,792",721.19,"2,909",25-Jul,MARINA GARDENS LANE,New Sale,Strata,67,"31,310",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"5,046,580","1,646.89","3,064",25-Jul,MARINA GARDENS LANE,New Sale,Strata,153,"32,984",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
MARINA BAY RESIDENCES,"3,561,111","1,636.13","2,177",25-Jul,MARINA BOULEVARD,Resale,Strata,152,"23,428",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,11 to 15
ONE MARINA GARDENS,"2,141,496",721.19,"2,969",25-Jul,MARINA GARDENS LANE,New Sale,Strata,67,"31,963",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"2,686,354",904.18,"2,971",25-Jul,MARINA GARDENS LANE,New Sale,Strata,84,"31,980",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,16 to 20
ONE MARINA GARDENS,"1,952,089",645.84,"3,023",25-Jul,MARINA GARDENS LANE,New Sale,Strata,60,"32,535",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
MARINA BAY SUITES,"6,400,000","2,691",,25-Jul,CENTRAL BOULEVARD,Resale,Strata,250,"25,600",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,56 to 60
THE SAIL @ MARINA BAY,"2,250,000","1,033.34","2,177",25-Jul,MARINA BOULEVARD,Resale,Strata,96,"23,438",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,06 to 10
ONE MARINA GARDENS,"1,955,383",645.84,"3,028",25-Jul,MARINA GARDENS LANE,New Sale,Strata,60,"32,590",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
MARINA ONE RESIDENCES,"4,168,888","2,249.68","1,853",25-Jul,MARINA WAY,Resale,Strata,209,"19,947",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,01 to 05
UNION SQUARE RESIDENCES,"1,665,000",505.91,"3,291",25-Jul,HAVELOCK ROAD,New Sale,Strata,47,"35,426",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
UNION SQUARE RESIDENCES,"2,307,000",721.19,"3,199",25-Jul,HAVELOCK ROAD,New Sale,Strata,67,"34,433",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"2,046,432",667.37,"3,066",25-Jul,MARINA GARDENS LANE,New Sale,Strata,62,"33,007",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,31 to 35
UNION SQUARE RESIDENCES,"2,365,000",742.72,"3,184",25-Jul,HAVELOCK ROAD,New Sale,Strata,69,"34,275",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,16 to 20
UNION SQUARE RESIDENCES,"2,339,000",721.19,"3,243",25-Jul,HAVELOCK ROAD,New Sale,Strata,67,"34,910",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,26 to 30
ONE MARINA GARDENS,"5,000,000","1,646.89","3,036",25-Jul,MARINA GARDENS LANE,New Sale,Strata,153,"32,680",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
W RESIDENCES MARINA VIEW - SINGAPORE,"2,850,000",850.36,"3,352",25-Jul,MARINA VIEW,New Sale,Strata,79,"36,076",-,Apartment,1,99 years leasehold,01,Core Central Region,16 to 20
MARINA BAY SUITES,"4,000,000","2,045.16","1,956",25-Jul,CENTRAL BOULEVARD,Resale,Strata,190,"21,053",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,26 to 30
MARINA BAY SUITES,,"1,571.54","1,941",25-Jul,CENTRAL BOULEVARD,Resale,Strata,146,"20,890",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,31 to 35
THE SAIL @ MARINA BAY,"1,650,000",688.9,"2,395",25-Jul,MARINA BOULEVARD,Resale,Strata,64,"25,781",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,46 to 50
ONE MARINA GARDENS,"2,126,570",721.19,"2,949",25-Jul,MARINA GARDENS LANE,New Sale,Strata,67,"31,740",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"3,663,925","1,237.86","2,960",25-Jul,MARINA GARDENS LANE,New Sale,Strata,115,"31,860",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
