Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SKYSUITES@ANSON,"980,000",398.27,"2,461",Aug-25,ENGGOR STREET,Resale,Strata,37,"26,486",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,41 to 45
EON SHENTON,"1,160,000",538.2,"2,155",Aug-25,SHENTON WAY,Resale,Strata,50,"23,200",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,26 to 30
76 SHENTON,"1,200,000",624.31,"1,922",Jul-25,SHENTON WAY,Resale,Strata,58,"20,690",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,06 to 10
CRAIG PLACE,"1,080,000",570.49,"1,893",Jul-25,CRAIG ROAD,Resale,Strata,53,"20,377",-,Apartment,1,99 yrs lease commencing from 1997,02,Rest of Central Region,06 to 10
SKY EVERTON,"1,920,000",678.13,"2,831",Jul-25,EVERTON ROAD,Resale,Strata,63,"30,476",-,Apartment,1,Freehold,02,Rest of Central Region,06 to 10
INTERNATIONAL PLAZA,"1,700,000","1,506.96","1,128",Jul-25,ANSON ROAD,Resale,Strata,140,"12,143",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,46 to 50
SKYSUITES@ANSON,"1,540,000",667.37,"2,308",Jul-25,ENGGOR STREET,Resale,Strata,62,"24,839",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,46 to 50
SPOTTISWOODE SUITES,"1,030,000",452.09,"2,278",Jul-25,SPOTTISWOODE PARK ROAD,Resale,Strata,42,"24,524",-,Apartment,1,Freehold,02,Rest of Central Region,21 to 25
SKYSUITES@ANSON,"1,020,000",398.27,"2,561",Jul-25,ENGGOR STREET,Resale,Strata,37,"27,568",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,51 to 55
SPOTTISWOODE PARK,"1,338,000","1,270.15","1,053",Jul-25,SPOTTISWOODE PARK ROAD,Resale,Strata,118,"11,339",-,Apartment,1,99 yrs lease commencing from 1976,02,Rest of Central Region,21 to 25
SPOTTISWOODE RESIDENCES,"1,900,000",796.54,"2,385",Jul-25,SPOTTISWOODE PARK ROAD,Resale,Strata,74,"25,676",-,Condominium,1,Freehold,02,Rest of Central Region,16 to 20
LUMIERE,"1,190,000",678.13,"1,755",Jul-25,MISTRI ROAD,Resale,Strata,63,"18,889",-,Apartment,1,99 yrs lease commencing from 2006,02,Core Central Region,31 to 35
ICON,"1,040,000",570.49,"1,823",Jun-25,GOPENG STREET,Resale,Strata,53,"19,623",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
SKYSUITES@ANSON,"1,480,000",699.66,"2,115",Jun-25,ENGGOR STREET,Resale,Strata,65,"22,769",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,26 to 30
SKYSUITES@ANSON,"1,520,000",699.66,"2,172",Jun-25,ENGGOR STREET,Resale,Strata,65,"23,385",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,26 to 30
SPOTTISWOODE RESIDENCES,"1,850,000",796.54,"2,323",Jun-25,SPOTTISWOODE PARK ROAD,Resale,Strata,74,"25,000",-,Condominium,1,Freehold,02,Rest of Central Region,16 to 20
INTERNATIONAL PLAZA,"1,800,000","1,593.07","1,130",Jun-25,ANSON ROAD,Resale,Strata,148,"12,162",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,46 to 50
EON SHENTON,"1,155,000",538.2,"2,146",Jun-25,SHENTON WAY,Resale,Strata,50,"23,100",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,21 to 25
SPOTTISWOODE PARK,"965,000",850.36,"1,135",Jun-25,SPOTTISWOODE PARK ROAD,Resale,Strata,79,"12,215",-,Apartment,1,93 yrs lease commencing from 1979,02,Rest of Central Region,11 to 15
THE ARRIS,"2,250,000",990.29,"2,272",May-25,YAN KIT ROAD,Resale,Strata,92,"24,457",-,Apartment,1,Freehold,02,Rest of Central Region,01 to 05
