Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COMMONWEALTH TOWERS,"905,000",473.62,"1,911",25-Aug,COMMONWEALTH AVENUE,Resale,Strata,44,"20,568",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
RIVIERE,"6,050,000","2,002.10","3,022",25-Aug,JIAK KIM STREET,Resale,Strata,186,"32,527",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"3,052,000","1,033.34","2,954",25-Aug,ZION PROMENADE,New Sale,Strata,96,"31,792",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,26 to 30
PROMENADE PEAK,"4,010,400","1,194.80","3,357",25-Aug,ZION PROMENADE,New Sale,Strata,111,"36,130",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,56 to 60
PROMENADE PEAK,"2,030,900",678.13,"2,995",25-Aug,ZION PROMENADE,New Sale,Strata,63,"32,237",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,21 to 25
PROMENADE PEAK,,"1,162.51","3,294",25-Aug,ZION PROMENADE,New Sale,Strata,108,"35,461",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,51 to 55
RIVER PLACE,"2,310,000","1,280.92","1,803",25-Aug,HAVELOCK ROAD,Resale,Strata,119,"19,412",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
AVENUE SOUTH RESIDENCE,"1,275,000",527.44,"2,417",25-Aug,SILAT AVENUE,Resale,Strata,49,"26,020",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,46 to 50
PROMENADE PEAK,"2,011,600",678.13,"2,966",25-Aug,ZION PROMENADE,New Sale,Strata,63,"31,930",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,26 to 30
QUEENSWAY TOWER,"2,580,000","1,679.18","1,536",25-Aug,QUEENSWAY,Resale,Strata,156,"16,538",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"2,295,100",785.77,"2,921",25-Aug,ZION PROMENADE,New Sale,Strata,73,"31,440",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"1,543,300",,"2,926",25-Aug,ZION PROMENADE,New Sale,Strata,49,"31,496",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,21 to 25
THE CREST,"1,760,000",861.12,"2,044",25-Aug,PRINCE CHARLES CRESCENT,Resale,Strata,80,"22,000",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"2,510,000","1,054.87","2,379",25-Aug,STIRLING ROAD,Resale,Strata,98,"25,612",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
HIGHLINE RESIDENCES,"2,860,000","1,108.69","2,580",25-Aug,KIM TIAN ROAD,Resale,Strata,103,"27,767",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"1,817,692",667.37,"2,724",25-Aug,ZION PROMENADE,New Sale,Strata,62,"29,318",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
ONE PEARL BANK,"1,980,000",742.72,"2,666",25-Aug,PEARL BANK,Sub Sale,Strata,69,"28,696",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"2,015,000",678.13,"2,971",25-Aug,ZION PROMENADE,New Sale,Strata,63,"31,984",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"2,096,888",904.18,"2,319",25-Aug,COMMONWEALTH AVENUE,Resale,Strata,84,"24,963",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
QUEENS PEAK,"985,000",441.32,"2,232",25-Aug,DUNDEE ROAD,Resale,Strata,41,"24,024",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,21 to 25
AVENUE SOUTH RESIDENCE,"1,530,000",731.95,"2,090",25-Aug,SILAT AVENUE,Resale,Strata,68,"22,500",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,01 to 05
CENTRAL GREEN CONDOMINIUM,"2,580,000","1,431.61","1,802",25-Aug,JALAN MEMBINA,Resale,Strata,133,"19,398",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,06 to 10
ALEX RESIDENCES,"2,142,000",925.7,"2,314",25-Aug,ALEXANDRA VIEW,Resale,Strata,86,"24,907",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
PROMENADE PEAK,"2,913,100","1,033.34","2,819",25-Aug,ZION PROMENADE,New Sale,Strata,96,"30,345",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"3,708,800","1,162.51","3,190",25-Aug,ZION PROMENADE,New Sale,Strata,108,"34,341",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,46 to 50
ALESSANDREA,"2,180,000","1,097.93","1,986",25-Aug,ALEXANDRA ROAD,Resale,Strata,102,"21,373",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"1,438,700",527.44,"2,728",25-Aug,ZION PROMENADE,New Sale,Strata,49,"29,361",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,891,300",688.9,"2,745",25-Aug,ZION PROMENADE,New Sale,Strata,64,"29,552",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,053,800",656.6,"3,128",25-Aug,ZION PROMENADE,New Sale,Strata,61,"33,669",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,41 to 45
PROMENADE PEAK,"2,856,200","1,033.34","2,764",25-Aug,ZION PROMENADE,New Sale,Strata,96,"29,752",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
ECHELON,"1,670,000",731.95,"2,282",25-Aug,ALEXANDRA VIEW,Resale,Strata,68,"24,559",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,36 to 40
PROMENADE PEAK,"1,999,700",667.37,"2,996",25-Aug,ZION PROMENADE,New Sale,Strata,62,"32,253",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,26 to 30
PRINCIPAL GARDEN,"1,919,000",807.3,"2,377",25-Aug,PRINCE CHARLES CRESCENT,Resale,Strata,75,"25,587",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
THE METROPOLITAN CONDOMINIUM,"3,368,000","1,743.77","1,931",25-Aug,ALEXANDRA VIEW,Resale,Strata,162,"20,790",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,26 to 30
COMMONWEALTH TOWERS,"2,730,000","1,076.40","2,536",25-Aug,COMMONWEALTH AVENUE,Resale,Strata,100,"27,300",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,41 to 45
STIRLING RESIDENCES,"1,790,000",764.24,"2,342",25-Aug,STIRLING ROAD,Resale,Strata,71,"25,211",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,480,000",635.08,"2,330",25-Aug,STIRLING ROAD,Resale,Strata,59,"25,085",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,975,000","1,033.34","2,879",25-Aug,ZION PROMENADE,New Sale,Strata,96,"30,990",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"1,993,700",667.37,"2,987",25-Aug,ZION PROMENADE,New Sale,Strata,62,"32,156",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,26 to 30
THE CREST,"2,358,000","1,323.97","1,781",25-Aug,PRINCE CHARLES CRESCENT,Resale,Strata,123,"19,171",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
ARTRA,"1,938,000",828.83,"2,338",25-Aug,ALEXANDRA VIEW,Resale,Strata,77,"25,169",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"1,853,400",688.9,"2,690",25-Aug,ZION PROMENADE,New Sale,Strata,64,"28,959",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,108,600",764.24,"2,759",25-Aug,ZION PROMENADE,New Sale,Strata,71,"29,699",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"1,867,200",688.9,"2,710",25-Aug,ZION PROMENADE,New Sale,Strata,64,"29,175",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,820,100","1,033.34","2,729",25-Aug,ZION PROMENADE,New Sale,Strata,96,"29,376",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,01 to 05
PROMENADE PEAK,"2,980,500","1,076.40","2,769",25-Aug,ZION PROMENADE,New Sale,Strata,100,"29,805",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,833,000",656.6,"2,792",25-Aug,ZION PROMENADE,New Sale,Strata,61,"30,049",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,830,400","1,033.34","2,739",25-Aug,ZION PROMENADE,New Sale,Strata,96,"29,483",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,991,300","1,076.40","2,779",25-Aug,ZION PROMENADE,New Sale,Strata,100,"29,913",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,446,600",527.44,"2,743",25-Aug,ZION PROMENADE,New Sale,Strata,49,"29,522",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,894,800",688.9,"2,750",25-Aug,ZION PROMENADE,New Sale,Strata,64,"29,606",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"2,154,500",764.24,"2,819",25-Aug,ZION PROMENADE,New Sale,Strata,71,"30,345",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,907,900",678.13,"2,813",25-Aug,ZION PROMENADE,New Sale,Strata,63,"30,284",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,916,000",678.13,"2,825",25-Aug,ZION PROMENADE,New Sale,Strata,63,"30,413",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,06 to 10
PROMENADE PEAK,"1,459,800",527.44,"2,768",25-Aug,ZION PROMENADE,New Sale,Strata,49,"29,792",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"1,879,000",656.6,"2,862",25-Aug,ZION PROMENADE,New Sale,Strata,61,"30,803",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"3,077,400","1,076.40","2,859",25-Aug,ZION PROMENADE,New Sale,Strata,100,"30,774",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,11 to 15
PROMENADE PEAK,"2,208,000",764.24,"2,889",25-Aug,ZION PROMENADE,New Sale,Strata,71,"31,099",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"1,914,300",667.37,"2,868",25-Aug,ZION PROMENADE,New Sale,Strata,62,"30,876",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"1,502,000",527.44,"2,848",25-Aug,ZION PROMENADE,New Sale,Strata,49,"30,653",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
PROMENADE PEAK,"2,311,300",796.54,"2,902",25-Aug,ZION PROMENADE,New Sale,Strata,74,"31,234",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,16 to 20
