Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
DUO RESIDENCES,"1,510,000",721.19,"2,094",Aug-25,FRASER STREET,Resale,Strata,67,"22,537",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,06 to 10
THE M,"1,125,000",462.85,"2,431",Aug-25,MIDDLE ROAD,Resale,Strata,43,"26,163",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
DUO RESIDENCES,"2,200,000","1,001.05","2,198",Aug-25,FRASER STREET,Resale,Strata,93,"23,656",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,31 to 35
CONCOURSE SKYLINE,"2,320,000","1,119.46","2,072",Aug-25,BEACH ROAD,Resale,Strata,104,"22,308",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,21 to 25
CITY GATE,"1,485,000",699.66,"2,122",Aug-25,BEACH ROAD,Resale,Strata,65,"22,846",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,11 to 15
CITY GATE,"1,515,000",688.9,"2,199",Aug-25,BEACH ROAD,Resale,Strata,64,"23,672",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
AUREA,"1,771,000",635.08,"2,789",Aug-25,BEACH ROAD,New Sale,Strata,59,"30,017",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,01 to 05
AUREA,"1,795,000",645.84,"2,779",Aug-25,BEACH ROAD,New Sale,Strata,60,"29,917",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,01 to 05
DUO RESIDENCES,"3,450,000","1,528.49","2,257",Jul-25,FRASER STREET,Resale,Strata,142,"24,296",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,31 to 35
THE M,"1,580,000",635.08,"2,488",Jul-25,MIDDLE ROAD,Resale,Strata,59,"26,780",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
CITY GATE,"1,680,000",807.3,"2,081",Jul-25,BEACH ROAD,Resale,Strata,75,"22,400",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
AUREA,"2,100,000",710.42,"2,956",Jul-25,BEACH ROAD,New Sale,Strata,66,"31,818",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,26 to 30
AUREA,"2,728,000","1,001.05","2,725",Jul-25,BEACH ROAD,New Sale,Strata,93,"29,333",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
DUO RESIDENCES,"1,360,000",592.02,"2,297",Jun-25,FRASER STREET,Resale,Strata,55,"24,727",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,01 to 05
MIDTOWN BAY,"2,680,000",753.48,"3,538",Jun-25,BEACH ROAD,New Sale,Strata,70,"38,080","2,665,600",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,21 to 25
MIDTOWN MODERN,"2,632,000",904.18,"2,911",Jun-25,TAN QUEE LAN STREET,Sub Sale,Strata,84,"31,333",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,06 to 10
THE PLAZA,"980,000",807.3,"1,214",Jun-25,BEACH ROAD,Resale,Strata,75,"13,067",-,Apartment,1,99 yrs lease commencing from 1968,07,Core Central Region,26 to 30
THE M,"2,050,000",753.48,"2,721",Jun-25,MIDDLE ROAD,Resale,Strata,70,"29,286",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
DUO RESIDENCES,"3,450,000","1,528.49","2,257",Jun-25,FRASER STREET,Resale,Strata,142,"24,296",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,36 to 40
CONCOURSE SKYLINE,"1,880,000",871.88,"2,156",Jun-25,BEACH ROAD,Resale,Strata,81,"23,210",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,21 to 25
DUO RESIDENCES,"3,500,000","1,528.49","2,290",Jun-25,FRASER STREET,Resale,Strata,142,"24,648",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,41 to 45
MIDTOWN BAY,"4,500,000","1,323.97","3,377",Jun-25,BEACH ROAD,New Sale,Strata,123,"36,351","4,471,200",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,26 to 30
AUREA,"12,000,000","3,250.73","3,691",Jun-25,BEACH ROAD,New Sale,Strata,302,"39,735",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,36 to 40
THE M,"2,000,000",742.72,"2,693",May-25,MIDDLE ROAD,Resale,Strata,69,"28,986",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
SOUTHBANK,"1,128,000",592.02,"1,905",May-25,NORTH BRIDGE ROAD,Resale,Strata,55,"20,509",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,16 to 20
SOUTHBANK,"1,750,000",904.18,"1,935",May-25,NORTH BRIDGE ROAD,Resale,Strata,84,"20,833",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,26 to 30
CITY GATE,"1,700,000",807.3,"2,106",May-25,BEACH ROAD,Resale,Strata,75,"22,667",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
TEXTILE CENTRE,"1,180,000",914.94,"1,290",May-25,JALAN SULTAN,Resale,Strata,85,"13,882",-,Apartment,1,99 yrs lease commencing from 1970,07,Rest of Central Region,11 to 15
THE M,"2,088,000",764.24,"2,732",May-25,MIDDLE ROAD,Resale,Strata,71,"29,408",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
CITY GATE,"1,481,000",678.13,"2,184",May-25,BEACH ROAD,Resale,Strata,63,"23,508",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
THE M,"1,080,000",409.03,"2,640",May-25,MIDDLE ROAD,Resale,Strata,38,"28,421",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
SUNSHINE PLAZA,"1,450,000",893.41,"1,623",May-25,PRINSEP LINK,Resale,Strata,83,"17,470",-,Apartment,1,99 yrs lease commencing from 1997,07,Rest of Central Region,11 to 15
SOUTHBANK,"1,155,000",613.55,"1,882",May-25,NORTH BRIDGE ROAD,Resale,Strata,57,"20,263",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,16 to 20
AUREA,"6,010,945","1,797.59","3,344",May-25,BEACH ROAD,New Sale,Strata,167,"35,994",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,26 to 30
DUO RESIDENCES,"1,515,000",721.19,"2,101",May-25,FRASER STREET,Resale,Strata,67,"22,612",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,11 to 15
SUNSHINE PLAZA,"2,000,000","1,345.5","1,486",May-25,PRINSEP LINK,Resale,Strata,125,"16,000",-,Apartment,1,99 yrs lease commencing from 1997,07,Rest of Central Region,06 to 10
CONCOURSE SKYLINE,"2,200,000","1,162.51","1,892",May-25,BEACH ROAD,Resale,Strata,108,"20,370",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,31 to 35
CITY GATE,"1,610,000",775.01,"2,077",Apr-25,BEACH ROAD,Resale,Strata,72,"22,361",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
THE M,"1,130,000",452.09,"2,500",Apr-25,MIDDLE ROAD,Resale,Strata,42,"26,905",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,01 to 05
MIDTOWN BAY,"2,440,000",742.72,"3,266",Apr-25,BEACH ROAD,New Sale,Strata,69,"35,154","2,425,600",Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,21 to 25
