Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
URBAN VISTA,"730,000",441.32,"1,654",Aug-25,TANAH MERAH KECHIL LINK,Resale,Strata,41,"17,805",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
ECO,"950,000",688.9,"1,379",Aug-25,BEDOK SOUTH AVENUE 3,Resale,Strata,64,"14,844",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
COSTA DEL SOL,"2,300,000","1,474.67","1,560",Aug-25,BAYSHORE ROAD,Resale,Strata,137,"16,788",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
THE BAYSHORE,"1,400,000","1,011.82","1,384",Aug-25,BAYSHORE ROAD,Resale,Strata,94,"14,894",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,16 to 20
BAYSHORE PARK,"1,480,000","1,291.68","1,146",Aug-25,BAYSHORE ROAD,Resale,Strata,120,"12,333",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
CASA MERAH,"2,050,000","1,237.86","1,656",Aug-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,115,"17,826",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,11 to 15
THE TANAMERA,"1,590,000","1,323.97","1,201",Aug-25,TANAH MERAH KECHIL ROAD,Resale,Strata,123,"12,927",-,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,16 to 20
WATERFRONT GOLD,"1,060,000",667.37,"1,588",Aug-25,BEDOK RESERVOIR ROAD,Resale,Strata,62,"17,097",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,01 to 05
THE GLADES,"1,180,000",721.19,"1,636",Aug-25,BEDOK RISE,Resale,Strata,67,"17,612",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
WATERFRONT WAVES,"2,300,000","1,291.68","1,781",Aug-25,BEDOK RESERVOIR ROAD,Resale,Strata,120,"19,167",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
OPTIMA @ TANAH MERAH,"1,280,000",861.12,"1,486",Aug-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,80,"16,000",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05
BEDOK COURT,"1,250,000","1,173.28","1,065",Aug-25,BEDOK SOUTH AVENUE 3,Resale,Strata,109,"11,468",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,11 to 15
BAYSHORE PARK,"1,450,000","1,076.4","1,347",Aug-25,BAYSHORE ROAD,Resale,Strata,100,"14,500",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
