Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
NOUVELLE PARK,"1,818,000","1,496.20","1,215",25-Aug,POH HUAT ROAD WEST,Resale,Strata,139,"13,079",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"780,000",462.85,"1,685",25-Aug,HOUGANG AVENUE 7,Resale,Strata,43,"18,140",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"1,570,000","1,108.69","1,416",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,103,"15,243",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
RIVERFRONT RESIDENCES,"1,930,000",,"1,741",25-Aug,HOUGANG AVENUE 7,Resale,Strata,103,"18,738",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
PARC VERA,"1,150,000",785.77,"1,464",25-Aug,HOUGANG STREET 32,Resale,Strata,73,"15,753",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE GARDEN RESIDENCES,"1,515,000",796.54,"1,902",25-Aug,SERANGOON NORTH VIEW,Resale,Strata,74,"20,473",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,11 to 15
CHUAN PARK,"2,720,800","1,033.34","2,633",25-Aug,LORONG CHUAN,New Sale,Strata,96,"28,342",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,01 to 05
COMPASS HEIGHTS,"1,698,000","1,323.97","1,283",25-Aug,SENGKANG SQUARE,Resale,Strata,123,"13,805",-,Apartment,1,99 yrs lease commencing from 2000,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,100,000",635.08,"1,732",25-Aug,HOUGANG AVENUE 2,Resale,Strata,59,"18,644",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"721,000",484.38,"1,489",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,45,"16,022",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
WATERTOWN,"880,000",527.44,"1,668",25-Aug,PUNGGOL CENTRAL,Resale,Strata,49,"17,959",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE SUNNYDALE,"2,138,000","1,517.72","1,409",25-Aug,SERANGOON AVENUE 3,Resale,Strata,141,"15,163",-,Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,01 to 05
KOVAN MELODY,"1,500,000",904.18,"1,659",25-Aug,KOVAN ROAD,Resale,Strata,84,"17,857",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"1,025,000",613.55,"1,671",25-Aug,SERANGOON NORTH AVENUE 1,Resale,Strata,57,"17,982",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
BOATHOUSE RESIDENCES,"2,150,000","1,463.90","1,469",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,136,"15,809",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,630,000",871.88,"1,870",25-Aug,HOUGANG AVENUE 7,Resale,Strata,81,"20,123",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
KINGSFORD WATERBAY,"1,205,000",861.12,"1,399",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,80,"15,063",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
RIVERFRONT RESIDENCES,"790,000",462.85,"1,707",25-Aug,HOUGANG AVENUE 7,Resale,Strata,43,"18,372",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"933,000",538.2,"1,734",25-Aug,SERANGOON NORTH AVENUE 1,Resale,Strata,50,"18,660",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
RIO VISTA,"2,615,000","2,464.96","1,061",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,229,"11,419",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
KOVAN GRANDEUR,"663,800",430.56,"1,542",25-Aug,TAMPINES ROAD,Resale,Strata,40,"16,595",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
BOTANIQUE AT BARTLEY,"2,208,888",958,"2,306",25-Aug,UPPER PAYA LEBAR ROAD,Resale,Strata,89,"24,819",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"935,000",527.44,"1,773",25-Aug,HOUGANG AVENUE 2,Resale,Strata,49,"19,082",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
A TREASURE TROVE,"1,888,000","1,205.57","1,566",25-Aug,PUNGGOL WALK,Resale,Strata,112,"16,857",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
RIVER ISLES,"1,340,000",893.41,"1,500",25-Aug,EDGEDALE PLAINS,Resale,Strata,83,"16,145",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
BARTLEY RESIDENCES,"2,760,000","1,797.59","1,535",25-Aug,LORONG HOW SUN,Resale,Strata,167,"16,527",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
JEWEL @ BUANGKOK,"1,280,000",775.01,"1,652",25-Aug,COMPASSVALE BOW,Resale,Strata,72,"17,778",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE LUXURIE,"2,120,888","1,313.21","1,615",25-Aug,COMPASSVALE ROAD,Resale,Strata,122,"17,384",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,851,888","1,097.93","1,687",25-Aug,LORONG HOW SUN,Resale,Strata,102,"18,156",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
CHERRY GARDENS,"1,880,000","2,163.56",869,25-Aug,LORONG LEW LIAN,Resale,Strata,201,"9,353",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"1,300,000",839.59,"1,548",25-Aug,COMPASSVALE BOW,Resale,Strata,78,"16,667",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
TERRASSE,"1,355,000",850.36,"1,593",25-Aug,TERRASSE LANE,Resale,Strata,79,"17,152",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,008,000",678.13,"1,486",25-Aug,UPPER SERANGOON VIEW,Resale,Strata,63,"16,000",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
THE TEMBUSU,"3,000,008","1,367.03","2,195",25-Aug,TAMPINES ROAD,Resale,Strata,127,"23,622",-,Condominium,1,Freehold,19,Outside Central Region,16 to 20
AFFINITY AT SERANGOON,"1,440,000",731.95,"1,967",25-Aug,SERANGOON NORTH AVENUE 1,Resale,Strata,68,"21,176",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
RIVERSOUND RESIDENCE,"1,050,000",753.48,"1,394",25-Aug,SENGKANG EAST AVENUE,Resale,Strata,70,"15,000",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
REGENTVILLE,"1,358,000","1,151.75","1,179",25-Aug,HOUGANG STREET 92,Resale,Strata,107,"12,692",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,560,000",850.36,"1,835",25-Aug,SERANGOON NORTH AVENUE 1,Resale,Strata,79,"19,747",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
